Producto,precio,PrincipioActivo,farmacia
3-Gel Suspensión Oral,1.6,,Hogar y Salud
Abrilar EA 575 Jarabe Sabor a Mentol – Frasco 100 ML,21.8,Hederahelix 35 Mg,Hogar y Salud
Aceite de Almendras Alkofarma – Frasco 30 ML,1.3,No encontrado,Hogar y Salud
Aceite de Ricino Portugal – Frasco 30 ML,2.0,No encontrado,Hogar y Salud
Aceite Rosado Alkofarma – Frasco 30 ML,2.6,No encontrado,Hogar y Salud
Aci-Tip 800 Mg-40Mg Comprimidos Masticables,4.0,Magaldrato | Simeticona,Hogar y Salud
Ácido Bórico en polvo – Caja 50 G,2.5,No encontrado,Hogar y Salud
Acnebiot 100 Mg Tabletas Recubiertas,67.9,Minociclina clorhidrato 100mg,Hogar y Salud
"Acrylarm 0,2% Gel Oftálmico – Tubo 10 G",41.9,"Ácido Poliacrílico 0,2%",Hogar y Salud
Aftotex Solución Spray – Frasco 30 ML,27.6,Acidosalicilico 1 G +Ruibarbo 10G,Hogar y Salud
Agua de Florida – Frasco 70 ML,4.1,No encontrado,Hogar y Salud
Agua de Kananga Alkofarma – Frasco 90 ML,3.0,No encontrado,Hogar y Salud
Aldomet 250 Mg Tableta Recubierta,42.6,Metildopa 250 mg,Hogar y Salud
Alergical Neo Jarabe – Frasco 60 ML,25.0,Clorfeniramina maleato 2mg|fenilefrina clorhidrato 5mg,Hogar y Salud
Alergis Gel – Tubo 20 G,20.1,Isotipendilo,Hogar y Salud
ALLERSTAT 180 Tabletas Recubiertas,50.0,,Hogar y Salud
Alopurinol 100mg Tableta,10.0,Alopurinol 100mg,Hogar y Salud
Amigdazol Plus Comprimidos,1.8,Benzocaína 5mg | Tirotricina 1mg,Hogar y Salud
Amlodipino 10mg Tableta Genfar – Caja 10 UN,2.2,Amlodipino 10 mg,Hogar y Salud
Amoxidal Plus 400-57mg/5mL Polvo para suspensión – Frasco 100 ML,60.8,Amoxicilina 400 Mg +Acidoclavulanico 57Mg,Hogar y Salud
Anginovag Spray Bucal – Frasco 10 ML,56.3,glicirretínico 60mg| Decualinio Cloruro 100mg | Tirotricina 400mg | Acetato de Hidrocortisona 60mg | Clorhidrato de Lidocaína 100mg,Hogar y Salud
Antidiarr 2mg Tableta,7.8,Loperamida 2mg,Hogar y Salud
Apitena 5 5 mg Comprimido recubierto – Caja 30 UN,141.0,No encontrado,Hogar y Salud
Apitena 5 5 mg Comprimido recubierto – Caja 30 UN,233.6,No encontrado,Hogar y Salud
Apronax ® 550mg Tabletas Recubiertas x 4Un + Desenfriol® Comprimidos Recubiertos x 1Un,8.7,No encontrado,Hogar y Salud
Aquasol 5% Emulsión – Tubo 60 G,36.8,PHANTENOL 5 %,Hogar y Salud
Asinpramida 10 Mg Tabletas,7.7,Metoclopramida 10mg,Hogar y Salud
Aspirina 100Mg Tabletas – Blister 10Un + 1Un,7.7,,Hogar y Salud
Atorslim 20mg Tableta,214.0,ATORVASTATINA,Hogar y Salud
Atorvastatina 40 mg Tableta Recubierta,6.0,Atorvastatina 40mg,Hogar y Salud
Aurovas 20mg Tableta Recubierta,135.9,,Hogar y Salud
Axona 50mcg/dosis Suspensión Para Pulverización Nasal – Frasco 120 Dosis,75.0,Fluticasona 50 mcg,Hogar y Salud
Azitromicina 500 Mg Tabletas,13.0,,Hogar y Salud
