Productos,Precio,PrincipioActivo,Farmacias
D'spierto,100.0,No encontrado,Boticas y Salud
Acidor Extra Rapid x 150 ml,16.0,No encontrado,Boticas y Salud
Aerolisin Anis gotas 15mL,-3.0,No encontrado,Boticas y Salud
Aerolisin Fresa gotas 15mL,-3.0,No encontrado,Boticas y Salud
Complejo B Forte,5.0,No encontrado,Boticas y Salud
Doloacemifem 120 mg,7.2,Doloacemifem 120 mg,Boticas y Salud
Doloacemifem 500 mg,1.6,Doloacemifem 500 mg,Boticas y Salud
Enzygestivo tabletas recubiertas,100.0,No encontrado,Boticas y Salud
Flamalgesico 100 mg /5 ml,9.0,Flamalgesico 100 mg /5 ml,Boticas y Salud
Flexi Hot Nf Ungüento,-3.0,No encontrado,Boticas y Salud
Fludycisteina 200mg Polvo Sobres,42.0,Fludycisteina 200mg Polvo Sobres,Boticas y Salud
Gestafol 0.50 mg,8.4,Gestafol 0.50 mg,Boticas y Salud
Heditos 100mg/5ml Jarabe 100ml,-3.0,Heditos 100mg/5ml Jarabe 100ml,Boticas y Salud
Herbacontrax Parches,-6.0,No encontrado,Boticas y Salud
Higanatur 300 mg,25.0,Higanatur 300 mg,Boticas y Salud
Higanatur 500 mg,60.0,Higanatur 500 mg,Boticas y Salud
Higanatur Max Forte,25.0,No encontrado,Boticas y Salud
Higaprotector 400 mg,19.0,Higaprotector 400 mg,Boticas y Salud
Histaclorf 2mg/5ml jarabe x120ml,8.5,Histaclorf 2mg/5ml jarabe x120ml,Boticas y Salud
Laxnatur NF,7.5,No encontrado,Boticas y Salud
Meditos Jarabe 120ml,14.0,No encontrado,Boticas y Salud
Migrapac,9.0,No encontrado,Boticas y Salud
Movigor Flex,2.84,No encontrado,Boticas y Salud
Oralflam Caramelo,-2.5,No encontrado,Boticas y Salud
Peptogastrin,12.0,No encontrado,Boticas y Salud
Plantaben,2.8,No encontrado,Boticas y Salud
Prostanatur 320 mg,30.0,Prostanatur 320 mg,Boticas y Salud
Prostanatur Max,120.0,No encontrado,Boticas y Salud
Testnatal Prueba de Embarazo,9.9,No encontrado,Boticas y Salud
Urofenal 250 mg,16.0,Urofenal 250 mg,Boticas y Salud
Variderm Gel,-4.43,No encontrado,Boticas y Salud
Varixina Cápsulas 50 mg,30.0,Varixina Cápsulas 50 mg,Boticas y Salud
Varixina Gel 40 g,-9.0,No encontrado,Boticas y Salud
Vista Tears 0.3%,12.0,No encontrado,Boticas y Salud
Vitaminfar AA capsulas blandas,-9.1,No encontrado,Boticas y Salud
Altad 1000 UI,48.0,No encontrado,Boticas y Salud
Comtrex Antigripal Día,24.9,No encontrado,Boticas y Salud
Dhipoglos Z Emulsion,41.0,No encontrado,Boticas y Salud
Gingisona B Menta Fresh 3 Mg Pastilla Para Chupar,3.5,No encontrado,Boticas y Salud
Gingisona B Spray,29.0,No encontrado,Boticas y Salud
Gingitriol 3mg/mL SPB x20mL,25.0,Gingitriol 3mg/mL SPB x20mL,Boticas y Salud
Glucovit Max Vainilla,108.0,No encontrado,Boticas y Salud
Ibesia Forte 2%,598.02,No encontrado,Boticas y Salud
Ibuprofeno 100mg/5ml,5.5,Ibuprofeno 100mg/5ml,Boticas y Salud
MenthoBioticos,70.0,No encontrado,Boticas y Salud
Metamucil Fibra Sabor Naranja,3.7,No encontrado,Boticas y Salud
Metamucil Fibra Sabor Naranja,54.9,No encontrado,Boticas y Salud
Panadol Forte,2.0,No encontrado,Boticas y Salud
Paracetamol 100mg/ml,8.0,Paracetamol 100mg/ml,Boticas y Salud
Paracetamol 160mg/5ml,7.5,Paracetamol 160mg/5ml,Boticas y Salud
Pepto-Bismol Sabor Cereza para el malestar estomacal 118ml,17.9,No encontrado,Boticas y Salud
Pepto-Bismol Sabor Cereza para el malestar estomacal 236ml,29.9,No encontrado,Boticas y Salud
Probiotil,98.0,No encontrado,Boticas y Salud
Probiotil V,93.04,No encontrado,Boticas y Salud
Resfrigrip Antigripal,8.4,No encontrado,Boticas y Salud
Rhino-BB DM 0.9%,11.5,No encontrado,Boticas y Salud
Rinokid Spray Nasal,37.0,No encontrado,Boticas y Salud
Thealoz Duo,105.0,No encontrado,Boticas y Salud
Thealoz Duo Gel,120.0,No encontrado,Boticas y Salud
Tonopan Migraña,84.0,No encontrado,Boticas y Salud
Vick Grip-10 antigripal con paracetamol,160.0,No encontrado,Boticas y Salud
Energiforte,11.7,No encontrado,Boticas y Salud
