Producto;Precio;PrincipioActivo
3-Gel Suspensión Oral;1.6;No encontrado
Abrilar EA 575 Jarabe Sabor a Mentol – Frasco 100 ML;21.8;No encontrado
Aceite de Almendras Alkofarma – Frasco 30 ML;1.3;No encontrado
Aceite de Ricino Portugal – Frasco 30 ML;2.0;No encontrado
Aceite Rosado Alkofarma – Frasco 30 ML;2.6;No encontrado
Aci-Tip 800 Mg-40Mg Comprimidos Masticables;4.0;No encontrado
Ácido Bórico en polvo – Caja 50 G;2.5;No encontrado
Acnebiot 100 Mg Tabletas Recubiertas;67.9;No encontrado
"Acrylarm 0;2% Gel Oftálmico – Tubo 10 G";41.9;No encontrado
Aftotex Solución Spray – Frasco 30 ML;27.6;No encontrado
Agua de Florida – Frasco 70 ML;4.1;No encontrado
Agua de Kananga Alkofarma – Frasco 90 ML;3.0;No encontrado
Aldomet 250 Mg Tableta Recubierta;42.6;No encontrado
Alergical Neo Jarabe – Frasco 60 ML;25.0;No encontrado
Alergis Gel – Tubo 20 G;20.1;No encontrado
ALLERSTAT 180 Tabletas Recubiertas;50.0;No encontrado
Alopurinol 100mg Tableta;10.0;No encontrado
Amigdazol Plus Comprimidos;1.8;No encontrado
Amlodipino 10mg Tableta Genfar – Caja 10 UN;2.2;No encontrado
Amoxidal Plus 400-57mg/5mL Polvo para suspensión – Frasco 100 ML;60.8;No encontrado
Anginovag Spray Bucal – Frasco 10 ML;56.3;No encontrado
Antidiarr 2mg Tableta;7.8;No encontrado
Apitena 5 5 mg Comprimido recubierto – Caja 30 UN;141.0;No encontrado
Apitena 5 5 mg Comprimido recubierto – Caja 30 UN;233.6;No encontrado
Apronax ® 550mg Tabletas Recubiertas x 4Un + Desenfriol® Comprimidos Recubiertos x 1Un;8.7;No encontrado
Aquasol 5% Emulsión – Tubo 60 G;36.8;No encontrado
Asinpramida 10 Mg Tabletas;7.7;No encontrado
Aspirina 100Mg Tabletas – Blister 10Un + 1Un;7.7;No encontrado
Atorslim 20mg Tableta;214.0;No encontrado
Atorvastatina 40 mg Tableta Recubierta;6.0;No encontrado
Aurovas 20mg Tableta Recubierta;135.9;No encontrado
Axona 50mcg/dosis Suspensión Para Pulverización Nasal – Frasco 120 Dosis;75.0;No encontrado
Azitromicina 500 Mg Tabletas;13.0;No encontrado
Azufre Barra Camel – Blíster 2 UN;2.5;No encontrado
Azufre en Barra Camel – Caja 6 UN;12.0;No encontrado
Bactricofarm 200mg-40mg/5ml Suspensión Oral – Frasco 60ml;12.5;No encontrado
Bactrim Balsámico Jarabe – Frasco 100 mL;21.2;No encontrado
Bart H 150-12.5mg Comprimido;121.4;No encontrado
Bart H 300-25mg Comprimido;123.3;No encontrado
Beclometasona 250mcg/dosis Aerosol para inhalación – Frasco 200 DOSIS;20.0;No encontrado
Belarina 2mg / 0.02mg Tableta Recubierta – Caja 28 Un;66.9;No encontrado
Betacort Depot 10mg/2mL Suspensión Inyectable – Ampolla 2 ML;42.2;No encontrado
Betametasona 0.05% Crema – Tubo 20 G;2.8;No encontrado
Bicarbonato De Sodio – Bolsa 100 G;2.5;No encontrado
Bicarbonato de Sodio en Polvo para Solución Oral – Pote 1000 G;18.6;No encontrado
Bicerto 150mg Comprimido de Liberación prolongada – Caja 10 Un;36.0;No encontrado
Bidimefor 500 mg-5 mg Tabletas Recubiertas;73.9;No encontrado
Bilaxten 20mg Comprimidos;82.6;No encontrado
Bio Electro Tableta Recubierta;10.0;No encontrado
Biogaia GTI Tableta Masticable – Caja 30 Un;124.0;No encontrado
Biogaia Protectis Baby Gotas suspensión Oral – Frasco 5 ML;65.4;No encontrado
Biogermin Solución oral gotas – Frasco 8ml;57.3;No encontrado
Biopiel Panthenol Crema Tópica – Tubo 20G;19.9;No encontrado
Biperideno 2 Mg Tableta IQF;2.6;No encontrado
"Bismosan 87;33 mg /5mL Suspensión Oral – Frasco 150 ml";11.5;No encontrado
Bismucar Fresa – Frasco 150 ml;13.1;No encontrado
Bisolvon Para Niños 4mg/5ml Jarabe – Frasco 120 ML;22.0;No encontrado
Bromuro de Ipratropio 20mcg Aerosol;21.5;No encontrado
Bronco Kids Jarabe – Frasco 250 mL;27.8;No encontrado
Broncophar Plus NF Jarabe – Frasco 120 ML;18.2;No encontrado
Broncotrin Dilat Pediátrico Jarabe – Frasco 120 ML;16.9;No encontrado
Bronpax 7.5 Mg/ Ml Solución oral gotas – Frasco 20 ML;52.0;No encontrado
Brosol Compuesto Solución – Frasco 120 ML;20.5;No encontrado
Caditar 200mg Cápsula;41.7;No encontrado
Caditar 400mg Cápsulas – Caja 10 Un;71.0;No encontrado
Cafiaspirina Forte Tabletas;10.2;No encontrado
Canesten 1% Crema antimicótica x 20g + Toallas Húmedas Bebecitos x 100 UN;24.4;No encontrado
Cefaclor 250mg/5ml Polvo Para Suspensión Oral – Frasco 75 ML;25.4;No encontrado
Cefaclor 500mg Cápsulas – Caja 10 UN;25.4;No encontrado
Cefalexina 500MG Cápsulas;6.8;No encontrado
Cefaloxime 250 Mg Suspensión Oral – Frasco 70 ML;46.4;No encontrado
Cefasabal Tabletas;21.0;No encontrado
Cilostal 50 Mg Tabletas;135.9;No encontrado
Ciprofloxacino 500mg Tableta;3.2;No encontrado
Ciprogram 3% Gotas Oftálmicas – Frasco 2.5 mL;25.0;No encontrado
Clanza 100mg Tableta Recubierta;33.5;No encontrado
Clanza Cr 200mg Tableta Recubierta de Liberación Prolongada;49.0;No encontrado
Clarimed 250 Mg/5 Ml Polvo para Suspensión Oral – Frasco 100 ML;78.5;No encontrado
Claritromicina 250mg/5ml Suspensión – Frasco 50 mL;16.6;No encontrado
Claritrox 500 Mg Tableta;24.0;No encontrado
Clavam Duo 875mg+125mg Comprimido recubierto – Caja 14 UN;83.2;No encontrado
Clavumox 600 Polvo para suspensión – Frasco 100 mL;98.7;No encontrado
Clindamicina 600mg/4mL Solución Inyectable;3.6;No encontrado
Clindamicina FMD 300mg Cápsulas;6.9;No encontrado
Clindess 100mg Óvulos Vaginales;80.5;No encontrado
Clinfol 100Mg Óvulo – Caja 3 UN;38.2;No encontrado
Clinfol 100Mg Óvulo x 3 UN + Mycofentin 1000 Mg Cápsula Blanda Vaginal x 1 UN;72.0;No encontrado
Clinomin NF Solución Inyectable – Caja 1 UN;21.5;No encontrado
Clobuler 15mg/5ml Jarabe – Frasco 100ml;14.9;No encontrado
Clopisobal 75mg Tabletas Recubiertas – Caja 30 Un;91.0;No encontrado
Clorelase Ungüento – Tubo 15 G;25.1;No encontrado
Clorfedan 10mg/ml IM.IV Solución Inyectable;13.5;No encontrado
Clorfenamina maleato 10 mg/ml Solución Inyectable;2.5;No encontrado
Clotipide 250 Mg Cápsulas;27.3;No encontrado
Colicomecodan 10/500mg Tabletas Recubiertas;10.0;No encontrado
Colmibe 20 Mmg /10 Mmg Comprimidos;179.0;No encontrado
Colufase 100mg/5ml Polvo para Suspensión – Frasco 30 ML;30.0;No encontrado
Comtrex Antigripal Día (Sobre 5 Gr) – 3×2;6.0;No encontrado
Comtrex Antigripal Noche (Sobre 5 Gr) – 3×2;6.0;No encontrado
Consiv 18mg Comprimido recubierto – Caja 30 UN;156.0;No encontrado
Consiv 36mg Comprimido recubierto – Caja 30 UN;250.0;No encontrado
Consiv 54mg Comprimido recubierto – Caja 30 UN;327.0;No encontrado
Corbis 5mg Comprimidos Recubiertos;15.3;No encontrado
Corentel 2.5mg Comprimido Recubierto;16.2;No encontrado
Corifan Solución oral Gotas – Frasco 20 ML;20.7;No encontrado
Corrilax Polvo para Solución Oral;5.3;No encontrado
Cortidiephar 5MG/5ML Jarabe – Frasco 120 ML;19.5;No encontrado
Cortiflex 0.025% Loción – Frasco 60 ML;26.3;No encontrado
Cortiflex 40 Mg/Ml Suspensión Inyectable – Caja 1 UN;40.3;No encontrado
Creon 25000/300mg Cápsula;240.0;No encontrado
Daflon 1000mg Comprimido Recubierto;57.8;No encontrado
Daflon 500mg Comprimido Recubierto;35.2;No encontrado
Davintex 90mg Comprimidos Recubiertos;56.9;No encontrado
Decorten 0.5 mg/5 ml Elixir – Frasco 100 ML;21.4;No encontrado
Decorten 2 mg/5mL Elixir – Frasco 100 ML;25.9;No encontrado
Deflazacort 30mg Tableta;2.8;No encontrado
Deltapred 5Mg/5Ml Jarabe – Frasco 120 ML;23.0;No encontrado
Dencorub Extra Forte Ungüento Tópico – Pote 100 G;34.9;No encontrado
Dequazol Oral 250 Mg/5Ml Suspensión Oral – Frasco 120 ML;41.8;No encontrado
Desenfriol® Comprimidos Recubiertos;25.0;No encontrado
Desloratadina 5 Mg Tabletas recubiertas;3.0;No encontrado
Deslova 5mg Tableta Recubierta;75.0;No encontrado
Destolab 5% Crema Tópica – Tubo 30 G;34.9;No encontrado
Dexametasona 4 Mg Tabletas;2.6;No encontrado
Dexilant 30mg Cápsulas de liberación retardada – Caja 14 UN;97.5;No encontrado
Dexilant 60mg Cápsulas de Liberación Retardada – Caja 14 UN;144.0;No encontrado
Dibrolax 5 mg Tabletas;10.0;No encontrado
Diclodor 50mg Comprimidos Recubiertos;13.0;No encontrado
Diclofenaco 50 Mg Tabletas;1.2;No encontrado
Dicynone 500mg Cápsula;27.5;No encontrado
Digestase 80mg Tableta Masticable;16.7;No encontrado
Digestase 80mg Tableta Masticable;15.0;No encontrado
Dinegal 10 mg Tabletas;53.0;No encontrado
Diosmin H 450mg/50mg Comprimido Recubierto;144.0;No encontrado
Dioxaflex 75mg/3mL Solución inyectable;10.0;No encontrado
Dioxaflex CB NF 50mg Cápsula Blanda;437.0;No encontrado
Dipharelax 60mg Solución Inyectable – Caja 1 Un;12.9;No encontrado
Divina 0.15mg+0.03mg Tabletas Recubiertas – Caja 28 Un;10.7;No encontrado
Dolo Complex Cápsula;22.0;No encontrado
Dolo Neurobion 1% Gel – Tubo 30 G;21.9;No encontrado
Dolo Neurobion NF Cápsulas;11.2;No encontrado
Dolocordralan Extra Forte NF Cápsulas;13.2;No encontrado
Doloral Forte 200 mg/ 5 mL Suspensión Oral – Frasco 60 mL;21.9;No encontrado
Dormidina 25mg Comprimido Recubierto – Caja 14 UN;31.0;No encontrado
Duphaston 10mg Tableta Recubierta – Caja 20 Un;111.7;No encontrado
Efetamol 1G Gránulos Efervescentes – Caja 20 Un;27.4;No encontrado
Elixir Estomacal Solución – Frasco 30 ML;1.5;No encontrado
Enofibs 160mg Cápsula – Caja 20 Un;92.9;No encontrado
